22:53:29.925 [main] INFO  c.R.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 25.0.2 with PID 5792 (E:\MCA_Language_Course\SpringBoot\journalApp\target\classes started by rashilyadav in E:\MCA_Language_Course\SpringBoot\journalApp)
22:53:33.651 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/25.0.2+10-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rashily2_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@549ac12c, com.mongodb.Jep395RecordCodecProvider@188a5fc2, com.mongodb.KotlinCodecProvider@1cb9ef52]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.mgfh3br.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-7y35ha-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
22:53:33.667 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-srv-cluster0.mgfh3br.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017 to client view of cluster
22:53:33.673 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-srv-cluster0.mgfh3br.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017 to client view of cluster
22:53:34.606 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29981 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
22:53:35.133 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=777744900, minRoundTripTimeNanos=0, setName='atlas-7y35ha-shard-0', canonicalAddress=ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, hosts=[ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017], passives=[], arbiters=[], primary='ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=331, topologyVersion=TopologyVersion{processId=6a0c737d556357682dcbd17d, counter=3}, lastWriteDate=Tue May 19 22:53:33 IST 2026, lastUpdateTimeNanos=880739709969900}
22:53:35.133 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=777750100, minRoundTripTimeNanos=0, setName='atlas-7y35ha-shard-0', canonicalAddress=ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017, hosts=[ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017], passives=[], arbiters=[], primary='ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000003c7, setVersion=331, topologyVersion=TopologyVersion{processId=6a0c7116edf7222425cd5ace, counter=6}, lastWriteDate=Tue May 19 22:53:33 IST 2026, lastUpdateTimeNanos=880739709963000}
22:53:35.133 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=777705600, minRoundTripTimeNanos=0, setName='atlas-7y35ha-shard-0', canonicalAddress=ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, hosts=[ac-genknkj-shard-00-01.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017, ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017], passives=[], arbiters=[], primary='ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=331, topologyVersion=TopologyVersion{processId=6a0c6e624ae2fcea99dd8c5d, counter=4}, lastWriteDate=Tue May 19 22:53:33 IST 2026, lastUpdateTimeNanos=880739709962900}
22:53:35.143 [cluster-ClusterId{value='6a0c9c9539ee1ae04730c2ce', description='Cluster0'}-ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-genknkj-shard-00-02.mgfh3br.mongodb.net:27017 with max election id 7fffffff00000000000003c7 and max set version 331
22:53:36.616 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
22:53:37.237 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:53:37.261 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
22:53:37.277 [main] INFO  c.R.journalApp.JournalAppApplication - Started JournalAppApplication in 8.452 seconds (process running for 9.967)
